fly,B-intrmed,8,fly,fli,NN,O,NN,10,compound,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ashes,I-intrmed,9,ash,ash,NNS,O,NNS,12,nsubjpass,0,0,0,0,0,0,0,0,0,0,0,0,0,0
were,null,10,were,were,VBD,O,VBD,12,auxpass,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sieved,B-operation,11,sieved,siev,VBN,O,VBN,0,root,0,1,0,0,0,1,0,0,0,0,0,0,0,0
through,null,12,through,through,IN,O,IN,17,case,1,1,0,0,0,1,0,0,0,0,0,0,0,0
a,null,13,a,a,DT,O,DT,17,det,1,10,0,0,0,5,2,3,7220,0,0,0,0,0
75,B-number,14,75,75,CD,O,CD,17,nummod,0,10,0,7,0,0,0,3,0,0,1,1,0,0
micron,B-prop_unit,15,micron,micron,NN,O,NN,17,compound,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mesh,B-synth_aprt,16,mesh,mesh,NN,O,NN,12,nmod,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prior,null,17,prior,prior,RB,O,RB,12,advmod,0,0,0,0,0,0,0,0,0,0,0,0,0,0
to,null,18,to,to,TO,O,TO,21,mark,1,80,0,20,0,14,46,0,0,0,0,0,0,0
be,null,19,be,be,VB,O,VB,21,auxpass,1,2,0,2,0,0,0,0,0,0,0,0,0,0
used,B-operation,20,used,use,VBN,O,VBN,18,dep,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in,null,21,in,in,IN,O,IN,24,case,1,7,0,4,0,0,3,0,8,0,0,0,0,0
cement,B-intrmed,22,cement,cement,NN,O,NN,24,compound,0,0,0,0,0,0,0,0,1,0,0,0,0,0
pastes,B-descriptor,23,paste,past,NNS,O,NNS,21,nmod,0,0,0,0,0,0,0,0,0,0,0,0,0,0
and,null,24,and,and,CC,O,CC,24,cc,1,27,1,6,10,6,3,1,0,0,0,0,0,0
mortar,B-intrmed,25,mortar,mortar,JJ,O,JJ,27,amod,0,15,0,0,0,0,0,15,0,0,0,0,0,0
preparation,null,26,preparation,prepar,NN,O,NN,24,conj,0,0,0,0,0,0,0,0,2,0,0,0,0,0
.,null,27,.,.,.,O,_,_,_,0,25,15,0,3,1,0,6,0,0,0,0,0,0

Metakaolin,B-material,0,Metakaolin,Metakaolin,NNP,O,NNP,6,nsubjpass,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,,null,1,,,,,,,O,_,_,_,0,125,5,12,27,37,44,0,0,0,0,0,0,0
ARGICAL,B-brand,2,ARGICAL,ARGIC,NNP,O,NNP,1,appos,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1200,null,3,1200,1200,CD,DATE,CD,3,nummod,0,1,0,0,0,0,1,0,0,0,1,1,0,0
was,null,4,wa,wa,VBD,O,VBD,6,auxpass,1,13,0,13,0,0,0,0,0,0,0,0,0,0
used,B-operation,5,used,use,VBN,O,VBN,0,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for,null,6,for,for,IN,O,IN,8,mark,1,0,0,0,0,0,0,0,0,0,0,0,0,0
making,B-operation,7,making,make,VBG,O,VBG,6,advcl,0,0,0,0,0,0,0,0,0,1,0,0,0,0
blends,B-intrmed,8,blend,blend,NNS,O,NNS,16,nsubj,0,0,0,0,0,0,0,0,0,0,0,0,0,0
of,null,9,of,of,IN,O,IN,11,case,1,340,2,247,2,0,78,11,1,0,0,0,0,0
metakaolin,B-material,10,metakaolin,metakaolin,NN,O,NN,9,nmod,0,0,0,0,0,0,0,0,0,0,0,0,0,0
with,null,11,with,with,IN,O,IN,15,case,1,69,0,1,2,61,1,4,0,0,0,0,0,0
the,null,12,the,the,DT,O,DT,15,det,1,40,0,20,0,4,12,4,0,0,0,0,0,0
biomass,B-descriptor,13,biomass,biomass,NN,O,NN,15,compound,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fly,B-intrmed,14,fly,fli,NN,O,NN,11,nmod,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ash,I-intrmed,15,ash,ash,JJ,O,JJ,8,xcomp,0,6,4,2,0,0,0,0,2,0,0,0,0,0
.,null,16,.,.,.,O,_,_,_,0,25,15,0,3,1,0,6,0,0,0,0,0,0

The,null,0,The,The,DT,O,DT,3,det,0,0,0,0,0,0,0,0,0,0,0,0,1,0
major,B-intrmed,1,major,major,JJ,O,JJ,3,amod,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oxides,I-intrmed,2,oxide,oxid,NNS,O,NNS,13,nsubjpass,0,0,0,0,0,0,0,0,5,0,0,0,0,0
in,null,3,in,in,IN,O,IN,7,case,1,7,0,4,0,0,3,0,8,0,0,0,0,0
the,null,4,the,the,DT,O,DT,7,det,1,40,0,20,0,4,12,4,0,0,0,0,0,0
precursor,B-intrmed,5,precursor,precursor,NN,O,NN,7,compound,0,20,12,0,8,0,0,0,0,0,0,0,0,0
materials,I-intrmed,6,material,materi,NNS,O,NNS,3,nmod,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obtained,B-operation,7,obtained,obtain,VBN,O,VBN,7,acl,0,22,2,0,0,20,0,0,0,0,0,0,0,0
by,null,8,by,by,IN,O,IN,11,case,1,129,1,0,0,125,3,0,1,0,0,0,0,0
XRF,B-meta,9,XRF,XRF,NN,ORGANIZATION,NN,11,compound,0,0,0,0,0,0,0,0,0,0,0,0,1,1
method,null,10,method,method,NN,O,NN,8,nmod,0,2,0,0,0,2,0,0,0,0,0,0,0,0
are,null,11,are,are,VBP,O,VBP,13,auxpass,1,0,0,0,0,0,0,0,0,0,0,0,0,0
shown,null,12,shown,shown,VBN,O,VBN,0,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in,null,13,in,in,IN,O,IN,15,case,1,7,0,4,0,0,3,0,8,0,0,0,0,0
Table,null,14,Table,Tabl,NNP,O,NNP,13,nmod,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,null,15,1,1,CD,O,CD,15,nummod,0,125,2,54,17,0,51,1,0,0,1,1,0,0
.,null,16,.,.,.,O,_,_,_,0,25,15,0,3,1,0,6,0,0,0,0,0,0

The,null,0,The,The,DT,O,DT,2,det,0,0,0,0,0,0,0,0,0,0,0,0,1,0
metakaolin,B-material,1,metakaolin,metakaolin,NN,O,NN,4,nsubjpass,0,0,0,0,0,0,0,0,0,0,0,0,0,0
was,null,2,wa,wa,VBD,O,VBD,4,auxpass,1,13,0,13,0,0,0,0,0,0,0,0,0,0
used,B-operation,3,used,use,VBN,O,VBN,0,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in,null,4,in,in,IN,O,IN,9,case,1,7,0,4,0,0,3,0,8,0,0,0,0,0
the,null,5,the,the,DT,O,DT,9,det,1,40,0,20,0,4,12,4,0,0,0,0,0,0
as,null,6,a,as,RB,O,RB,9,advmod,1,0,0,0,0,0,0,0,1,0,0,0,0,0
received,null,7,received,receiv,JJ,O,JJ,9,amod,0,0,0,0,0,0,0,0,0,0,0,0,0,0
form,null,8,form,form,NN,O,NN,4,nmod,0,0,0,0,0,0,0,0,1,0,0,0,0,0
.,null,9,.,.,.,O,_,_,_,0,25,15,0,3,1,0,6,0,0,0,0,0,0

A,null,0,A,A,DT,O,DT,2,det,0,5,5,0,0,0,0,0,241,0,0,0,1,1
mixture,B-intrmed,1,mixture,mixtur,NN,O,NN,21,nsubjpass,0,131,129,1,0,1,0,0,5,0,0,0,0,0
of,null,2,of,of,IN,O,IN,5,case,1,340,2,247,2,0,78,11,1,0,0,0,0,0
sodium,B-material,3,sodium,sodium,NN,O,NN,5,compound,0,45,45,0,0,0,0,0,200,0,0,0,0,0
hydroxide,I-material,4,hydroxide,hydroxid,NN,O,NN,2,nmod,0,31,27,4,0,0,0,0,58,0,0,0,0,0
(,null,5,(,(,FW,O,FW,8,compound,0,412,241,164,4,0,0,3,0,0,0,0,0,0
NaOH,B-material,6,NaOH,NaOH,FW,O,FW,8,compound,0,81,78,3,0,0,0,0,1,0,0,0,1,0
),null,7,),),NN,O,NN,5,dep,0,412,241,164,4,0,0,3,0,0,0,0,0,0
and,null,8,and,and,CC,O,CC,5,cc,1,27,1,6,10,6,3,1,0,0,0,0,0,0
sodium,B-material,9,sodium,sodium,NN,O,NN,11,compound,0,45,45,0,0,0,0,0,200,0,0,0,0,0
silicate,I-material,10,silicate,silic,NN,O,NN,5,conj,0,0,0,0,0,0,0,0,22,0,0,0,0,0
or,null,11,or,or,CC,O,CC,11,cc,1,0,0,0,0,0,0,0,0,0,0,0,0,0
water,B-material,12,water,water,NN,O,NN,11,conj,0,396,374,0,19,0,0,3,19,0,0,0,0,0
glass,I-material,13,glass,glass,NN,O,NN,11,dep,0,2,0,0,0,0,0,2,4,0,0,0,0,0
(,null,14,(,(,FW,O,FW,14,compound,0,412,241,164,4,0,0,3,0,0,0,0,0,0
Na2SiO2·(OH)2·4H2O,B-material,15,Na2SiO2·(OH)2·4H2O,Na2SiO2·(OH)2·4H2O,FW,O,FW,14,compound,0,0,0,0,0,0,0,0,0,0,1,0,1,0
),null,16,),),FW,O,FW,14,compound,0,412,241,164,4,0,0,3,0,0,0,0,0,0
),null,17,),),FW,O,FW,14,dep,0,412,241,164,4,0,0,3,0,0,0,0,0,0
solution,B-descriptor,18,solution,solut,NN,O,NN,11,dep,0,345,192,0,145,7,0,1,130,0,0,0,0,0
was,null,19,wa,wa,VBD,O,VBD,21,auxpass,1,13,0,13,0,0,0,0,0,0,0,0,0,0
used,B-operation,20,used,use,VBN,O,VBN,0,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as,null,21,a,as,IN,O,IN,25,case,1,0,0,0,0,0,0,0,1,0,0,0,0,0
the,null,22,the,the,DT,O,DT,25,det,1,40,0,20,0,4,12,4,0,0,0,0,0,0
alkaline,B-descriptor,23,alkaline,alkalin,NN,O,NN,25,compound,0,2,0,0,2,0,0,0,0,0,0,0,0,0
activator,B-intrmed,24,activator,activ,NN,O,NN,21,nmod,0,0,0,0,0,0,0,0,1,0,0,0,0,0
.,null,25,.,.,.,O,_,_,_,0,25,15,0,3,1,0,6,0,0,0,0,0,0

In,null,0,In,In,IN,O,IN,4,mark,0,1,0,1,0,0,0,0,14,0,0,0,1,0
order,null,1,order,order,NN,O,NN,1,mwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
to,null,2,to,to,TO,O,TO,4,mark,1,80,0,20,0,14,46,0,0,0,0,0,0,0
test,null,3,test,test,VB,O,VB,26,advcl,0,0,0,0,0,0,0,0,3,0,0,0,0,0
the,null,4,the,the,DT,O,DT,6,det,1,40,0,20,0,4,12,4,0,0,0,0,0,0
effect,null,5,effect,effect,NN,O,NN,4,dobj,0,0,0,0,0,0,0,0,0,0,0,0,0,0
of,null,6,of,of,IN,O,IN,9,case,1,340,2,247,2,0,78,11,1,0,0,0,0,0
sodium,B-material,7,sodium,sodium,NN,O,NN,9,compound,0,45,45,0,0,0,0,0,200,0,0,0,0,0
hydroxide,I-material,8,hydroxide,hydroxid,NN,O,NN,6,nmod,0,31,27,4,0,0,0,0,58,0,0,0,0,0
and,null,9,and,and,CC,O,CC,9,cc,1,27,1,6,10,6,3,1,0,0,0,0,0,0
sodium,B-material,10,sodium,sodium,NN,O,NN,13,compound,0,45,45,0,0,0,0,0,200,0,0,0,0,0
silicate,I-material,11,silicate,silic,NN,O,NN,13,compound,0,0,0,0,0,0,0,0,22,0,0,0,0,0
solution,B-descriptor,12,solution,solut,NN,O,NN,9,conj,0,345,192,0,145,7,0,1,130,0,0,0,0,0
,,null,13,,,,,,,O,_,_,_,0,125,5,12,27,37,44,0,0,0,0,0,0,0
different,null,14,different,differ,JJ,O,JJ,17,amod,0,1,0,0,0,0,1,0,0,0,0,0,0,0
molar,B-amt_misc,15,molar,molar,JJ,O,JJ,17,amod,0,118,1,116,1,0,0,0,0,0,0,0,0,0
proportions,I-amt_misc,16,proportion,proport,NNS,O,NNS,26,nsubjpass,0,0,0,0,0,0,0,0,0,0,0,0,0,0
of,null,17,of,of,IN,O,IN,20,case,1,340,2,247,2,0,78,11,1,0,0,0,0,0
sodium,B-material,18,sodium,sodium,NN,O,NN,20,compound,0,45,45,0,0,0,0,0,200,0,0,0,0,0
hydroxide,I-material,19,hydroxide,hydroxid,NN,O,NN,17,nmod,0,31,27,4,0,0,0,0,58,0,0,0,0,0
and,null,20,and,and,CC,O,CC,20,cc,1,27,1,6,10,6,3,1,0,0,0,0,0,0
sodium,B-material,21,sodium,sodium,NN,O,NN,24,compound,0,45,45,0,0,0,0,0,200,0,0,0,0,0
silicate,I-material,22,silicate,silic,NN,O,NN,24,compound,0,0,0,0,0,0,0,0,22,0,0,0,0,0
solutions,B-descriptor,23,solution,solut,NNS,O,NNS,20,conj,0,16,14,0,2,0,0,0,2,0,0,0,0,0
were,null,24,were,were,VBD,O,VBD,26,auxpass,1,0,0,0,0,0,0,0,0,0,0,0,0,0
used,B-operation,25,used,use,VBN,O,VBN,0,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.,null,26,.,.,.,O,_,_,_,0,25,15,0,3,1,0,6,0,0,0,0,0,0

The,null,0,The,The,DT,O,DT,2,det,0,0,0,0,0,0,0,0,0,0,0,0,1,0
concentrations,null,1,concentration,concentr,NNS,O,NNS,8,nsubj,0,0,0,0,0,0,0,0,0,0,0,0,0,0
of,null,2,of,of,IN,O,IN,4,case,1,340,2,247,2,0,78,11,1,0,0,0,0,0
NaOH,B-material,3,NaOH,NaOH,NN,O,NN,2,nmod,0,81,78,3,0,0,0,0,1,0,0,0,1,0
selected,null,4,selected,select,VBN,O,VBN,4,acl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
were,null,5,were,were,VBD,O,VBD,8,cop,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,B-number,6,8,8,CD,O,CD,8,nummod,0,34,0,3,0,0,31,0,0,0,1,1,0,0
M,B-amt_unit,7,M,M,NN,O,NN,0,root,0,67,1,66,0,0,0,0,108,0,0,0,1,1
,,null,8,,,,,,,O,_,_,_,0,125,5,12,27,37,44,0,0,0,0,0,0,0
10,B-number,9,10,10,CD,O,CD,11,nummod,0,140,1,55,0,0,84,0,0,0,1,1,0,0
M,B-amt_unit,10,M,M,NN,O,NN,8,conj,0,67,1,66,0,0,0,0,108,0,0,0,1,1
,,null,11,,,,,,,O,_,_,_,0,125,5,12,27,37,44,0,0,0,0,0,0,0
12,B-number,12,12,12,CD,O,CD,14,nummod,0,57,0,1,0,0,52,4,0,0,1,1,0,0
M,B-amt_unit,13,M,M,NN,O,NN,8,conj,0,67,1,66,0,0,0,0,108,0,0,0,1,1
and,null,14,and,and,CC,O,CC,8,cc,1,27,1,6,10,6,3,1,0,0,0,0,0,0
18,B-number,15,18,18,CD,O,CD,20,nummod,0,3,0,1,0,0,2,0,0,0,1,1,0,0
M.,B-amt_unit,16,M.,M.,NNP,O,NNP,20,compound,0,0,0,0,0,0,0,0,1,0,0,0,1,1
The,null,17,The,The,NNP,O,NNP,20,compound,0,0,0,0,0,0,0,0,0,0,0,0,1,0
sodium,B-material,18,sodium,sodium,NN,O,NN,20,compound,0,45,45,0,0,0,0,0,200,0,0,0,0,0
hydroxide,I-material,19,hydroxide,hydroxid,NN,O,NN,8,conj,0,31,27,4,0,0,0,0,58,0,0,0,0,0
and,null,20,and,and,CC,O,CC,8,cc,1,27,1,6,10,6,3,1,0,0,0,0,0,0
sodium,B-material,21,sodium,sodium,NN,O,NN,25,compound,0,45,45,0,0,0,0,0,200,0,0,0,0,0
silicate,I-material,22,silicate,silic,NN,O,NN,25,compound,0,0,0,0,0,0,0,0,22,0,0,0,0,0
solution,B-descriptor,23,solution,solut,NN,O,NN,25,compound,0,345,192,0,145,7,0,1,130,0,0,0,0,0
proportions,B-amt_misc,24,proportion,proport,NNS,O,NNS,27,nsubjpass,0,0,0,0,0,0,0,0,0,0,0,0,0,0
were,null,25,were,were,VBD,O,VBD,27,auxpass,1,0,0,0,0,0,0,0,0,0,0,0,0,0
taken,B-operation,26,taken,taken,VBN,O,VBN,8,conj,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in,null,27,in,in,IN,O,IN,30,case,1,7,0,4,0,0,3,0,8,0,0,0,0,0
different,null,28,different,differ,JJ,O,JJ,30,amod,0,1,0,0,0,0,1,0,0,0,0,0,0,0
ratios,B-amt_misc,29,ratio,ratio,NNS,O,NNS,27,nmod,0,10,0,10,0,0,0,0,0,0,0,0,0,0
ranging,null,30,ranging,rang,VBG,O,VBG,30,acl,0,0,0,0,0,0,0,0,0,1,0,0,0,0
from,null,31,from,from,IN,O,IN,35,case,1,39,0,0,0,2,37,0,0,0,0,0,0,0
0.5,B-number,32,0.5,0.5,CD,O,CD,35,compound,0,57,1,34,0,0,22,0,0,0,1,0,0,0
to,null,33,to,to,TO,O,TO,35,dep,1,80,0,20,0,14,46,0,0,0,0,0,0,0
2.5,B-number,34,2.5,2.5,CD,O,CD,31,nmod,0,4,0,4,0,0,0,0,0,0,1,0,0,0
.,null,35,.,.,.,O,_,_,_,0,25,15,0,3,1,0,6,0,0,0,0,0,0

Distilled,B-descriptor,0,Distilled,Distil,NNP,O,NNP,2,compound,0,1,0,0,1,0,0,0,2,0,0,0,1,0
water,B-material,1,water,water,NN,O,NN,4,nsubjpass,0,396,374,0,19,0,0,3,19,0,0,0,0,0
was,null,2,wa,wa,VBD,O,VBD,4,auxpass,1,13,0,13,0,0,0,0,0,0,0,0,0,0
used,B-operation,3,used,use,VBN,O,VBN,0,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0
to,null,4,to,to,TO,O,TO,6,mark,1,80,0,20,0,14,46,0,0,0,0,0,0,0
dissolve,B-operation,5,dissolve,dissolv,VB,O,VB,4,xcomp,0,3,0,0,0,2,1,0,0,0,0,0,0,0
the,null,6,the,the,DT,O,DT,9,det,1,40,0,20,0,4,12,4,0,0,0,0,0,0
sodium,B-material,7,sodium,sodium,NN,O,NN,9,compound,0,45,45,0,0,0,0,0,200,0,0,0,0,0
hydroxide,I-material,8,hydroxide,hydroxid,NN,O,NN,10,nsubj,0,31,27,4,0,0,0,0,58,0,0,0,0,0
flakes,B-descriptor,9,flake,flake,VBZ,O,VBZ,6,ccomp,0,0,0,0,0,0,0,0,0,0,0,0,0,0
to,null,10,to,to,TO,O,TO,12,mark,1,80,0,20,0,14,46,0,0,0,0,0,0,0
avoid,null,11,avoid,avoid,VB,O,VB,10,xcomp,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the,null,12,the,the,DT,O,DT,14,det,1,40,0,20,0,4,12,4,0,0,0,0,0,0
effect,null,13,effect,effect,NN,O,NN,12,dobj,0,0,0,0,0,0,0,0,0,0,0,0,0,0
of,null,14,of,of,IN,O,IN,17,case,1,340,2,247,2,0,78,11,1,0,0,0,0,0
unknown,null,15,unknown,unknown,JJ,O,JJ,17,amod,0,0,0,0,0,0,0,0,1,0,0,0,0,0
contaminants,B-intrmed,16,contaminant,contamin,NNS,O,NNS,14,nmod,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in,null,17,in,in,IN,O,IN,21,case,1,7,0,4,0,0,3,0,8,0,0,0,0,0
the,null,18,the,the,DT,O,DT,21,det,1,40,0,20,0,4,12,4,0,0,0,0,0,0
mixing,B-operation,19,mixing,mix,JJ,O,JJ,21,amod,0,2,0,0,0,2,0,0,0,1,0,0,0,0
water,B-material,20,water,water,NN,O,NN,12,nmod,0,396,374,0,19,0,0,3,19,0,0,0,0,0
.,null,21,.,.,.,O,_,_,_,0,25,15,0,3,1,0,6,0,0,0,0,0,0

Soon,null,0,Soon,Soon,RB,O,RB,8,advmod,0,0,0,0,0,0,0,0,0,0,0,0,1,0
after,null,1,after,after,IN,O,IN,8,mark,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the,null,2,the,the,DT,O,DT,8,nsubj,1,40,0,20,0,4,12,4,0,0,0,0,0,0
mixing,null,3,mixing,mix,VBG,O,VBG,3,amod,0,2,0,0,0,2,0,0,0,1,0,0,0,0
of,null,4,of,of,IN,O,IN,7,case,1,340,2,247,2,0,78,11,1,0,0,0,0,0
sodium,B-material,5,sodium,sodium,NN,O,NN,7,compound,0,45,45,0,0,0,0,0,200,0,0,0,0,0
hydroxide,I-material,6,hydroxide,hydroxid,NN,O,NN,3,nmod,0,31,27,4,0,0,0,0,58,0,0,0,0,0
flakes,B-descriptor,7,flake,flake,VBZ,O,VBZ,18,advcl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
with,null,8,with,with,IN,O,IN,10,case,1,69,0,1,2,61,1,4,0,0,0,0,0,0
water,B-material,9,water,water,NN,O,NN,8,nmod,0,396,374,0,19,0,0,3,19,0,0,0,0,0
,,null,10,,,,,,,O,_,_,_,0,125,5,12,27,37,44,0,0,0,0,0,0,0
the,null,11,the,the,DT,O,DT,13,det,1,40,0,20,0,4,12,4,0,0,0,0,0,0
vessel,null,12,vessel,vessel,NN,O,NN,18,nsubjpass,0,18,0,0,0,0,0,18,0,0,0,0,0,0
containing,null,13,containing,contain,VBG,O,VBG,13,acl,0,8,4,0,0,4,0,0,0,1,0,0,0,0
the,null,14,the,the,DT,O,DT,16,det,1,40,0,20,0,4,12,4,0,0,0,0,0,0
mix,B-intrmed,15,mix,mix,NN,O,NN,14,dobj,0,1,0,0,1,0,0,0,0,0,0,0,0,0
is,null,16,is,is,VBZ,O,VBZ,18,auxpass,1,0,0,0,0,0,0,0,1,0,0,0,0,0
cooled,B-operation,17,cooled,cool,VBN,O,VBN,0,root,0,152,0,0,0,152,0,0,0,0,0,0,0,0
by,null,18,by,by,IN,O,IN,20,mark,1,129,1,0,0,125,3,0,1,0,0,0,0,0
keeping,B-operation,19,keeping,keep,VBG,O,VBG,18,advcl,0,0,0,0,0,0,0,0,0,1,0,0,0,0
in,null,20,in,in,IN,O,IN,24,case,1,7,0,4,0,0,3,0,8,0,0,0,0,0
a,null,21,a,a,DT,O,DT,24,det,1,10,0,0,0,5,2,3,7220,0,0,0,0,0
water,B-material,22,water,water,NN,O,NN,24,compound,0,396,374,0,19,0,0,3,19,0,0,0,0,0
bath,null,23,bath,bath,NN,O,NN,20,nmod,0,19,0,0,0,0,1,18,0,0,0,0,0,0
to,null,24,to,to,TO,O,TO,26,mark,1,80,0,20,0,14,46,0,0,0,0,0,0,0
avoid,B-operation,25,avoid,avoid,VB,O,VB,20,xcomp,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the,null,26,the,the,DT,O,DT,26,dobj,1,40,0,20,0,4,12,4,0,0,0,0,0,0
boiling,null,27,boiling,boil,VBG,O,VBG,27,amod,0,0,0,0,0,0,0,0,0,1,0,0,0,0
of,null,28,of,of,IN,O,IN,31,case,1,340,2,247,2,0,78,11,1,0,0,0,0,0
the,null,29,the,the,DT,O,DT,31,det,1,40,0,20,0,4,12,4,0,0,0,0,0,0
solution,B-intrmed,30,solution,solut,NN,O,NN,27,nmod,0,345,192,0,145,7,0,1,130,0,0,0,0,0
.,null,31,.,.,.,O,_,_,_,0,25,15,0,3,1,0,6,0,0,0,0,0,0

The,null,0,The,The,DT,O,DT,2,det,0,0,0,0,0,0,0,0,0,0,0,0,1,0
alkaline,B-descriptor,1,alkaline,alkalin,NN,O,NN,3,nsubj,0,2,0,0,2,0,0,0,0,0,0,0,0,0
mixes,B-intrmed,2,mix,mix,VBZ,O,VBZ,0,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0
were,null,3,were,were,VBD,O,VBD,5,auxpass,1,0,0,0,0,0,0,0,0,0,0,0,0,0
made,B-operation,4,made,made,VBN,O,VBN,3,ccomp,0,0,0,0,0,0,0,0,0,0,0,0,0,0
one,null,5,one,one,CD,O,CD,7,nummod,0,1,0,0,0,0,1,0,6210,0,0,0,0,0
day,null,6,day,day,NN,O,NN,8,nmod:npmod,0,36,0,0,0,0,36,0,0,0,0,0,0,0
prior,null,7,prior,prior,RB,O,RB,5,advmod,0,0,0,0,0,0,0,0,0,0,0,0,0,0
to,null,8,to,to,TO,O,TO,10,mark,1,80,0,20,0,14,46,0,0,0,0,0,0,0
use,null,9,use,use,VB,O,VB,5,xcomp,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in,null,10,in,in,IN,O,IN,14,mark,1,7,0,4,0,0,3,0,8,0,0,0,0,0
order,null,11,order,order,NN,O,NN,11,mwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
to,null,12,to,to,TO,O,TO,14,mark,1,80,0,20,0,14,46,0,0,0,0,0,0,0
have,null,13,have,have,VB,O,VB,10,advcl,1,0,0,0,0,0,0,0,0,0,0,0,0,0
a,null,14,a,a,DT,O,DT,17,det,1,10,0,0,0,5,2,3,7220,0,0,0,0,0
homogenous,B-descriptor,15,homogenous,homogen,JJ,O,JJ,17,amod,0,1,0,0,1,0,0,0,0,0,0,0,0,0
solution,B-intrmed,16,solution,solut,NN,O,NN,14,dobj,0,345,192,0,145,7,0,1,130,0,0,0,0,0
